"EC_code","name","probabilities","count"
"ec00860","Porphyrin metabolism","4.51424162607413e-05","107"
"ec00550","Peptidoglycan biosynthesis","0.00051660400755964","23"
"ec00909","Sesquiterpenoid and triterpenoid biosynthesis","0.000518015659463843","80"
"ec00520","Amino sugar and nucleotide sugar metabolism","0.000631293799516799","127"
"ec00500","Starch and sucrose metabolism","0.000747075036247473","76"
"ec00970","Aminoacyl-tRNA biosynthesis","0.000942806435618368","31"
"ec00040","Pentose and glucuronate interconversions","0.000983963109644156","73"
"ec00310","Lysine degradation","0.00107874064209675","72"
"ec00362","Benzoate degradation","0.00129686230843888","70"
"ec00350","Tyrosine metabolism","0.00187607676835047","66"
"ec00950","Isoquinoline alkaloid biosynthesis","0.00187607676835047","66"
"ec00904","Diterpenoid biosynthesis","0.00205789918642849","65"
"ec00380","Tryptophan metabolism","0.00271736394697702","62"
"ec00999","Biosynthesis of various plant secondary metabolites","0.00271736394697702","62"
"ec00053","Ascorbate and aldarate metabolism","0.00394084303185231","58"
"ec00920","Sulfur metabolism","0.0057224009510126","54"
"ec00640","Propanoate metabolism","0.00689889373466587","52"
"ec00902","Monoterpenoid biosynthesis","0.00831991682368232","50"
"ec00330","Arginine and proline metabolism","0.0138896793650611","83"
"ec00561","Glycerolipid metabolism","0.0146208444817343","44"
"ec00998","Biosynthesis of various antibiotics","0.0146208444817343","44"
"ec00541","O-Antigen nucleotide sugar biosynthesis","0.0159722919020786","63"
"ec00564","Glycerophospholipid metabolism","0.0172475556612316","62"
"ec00650","Butanoate metabolism","0.0186212547846925","61"
"ec00630","Glyoxylate and dicarboxylate metabolism","0.0206841116345937","77"
"ec00620","Pyruvate metabolism","0.0220840602492228","76"
"ec00030","Pentose phosphate pathway","0.0234067865086216","58"
"ec00360","Phenylalanine metabolism","0.0234067865086216","58"
"ec00910","Nitrogen metabolism","0.0234412510118543","39"
"ec00480","Glutathione metabolism","0.0234412510118543","39"
"ec00270","Cysteine and methionine metabolism","0.0269679389629848","89"
"ec00140","Steroid hormone biosynthesis","0.0311465335265086","36"
"ec00280","Valine, leucine and isoleucine degradation","0.0311465335265086","36"
"ec00627","Aminobenzoate degradation","0.0316544115470084","54"
"ec00790","Folate biosynthesis","0.0341141225386786","53"
"ec00510","N-Glycan biosynthesis","0.0342470934250751","35"
"ec00600","Sphingolipid metabolism","0.0376593944003996","34"
"ec00720","Carbon fixation pathways in prokaryotes","0.039588408295893","51"
"ec00997","Biosynthesis of various other secondary metabolites","0.0414150910314458","33"
"ec00944","Flavone and flavonol biosynthesis","0.045549083784131","32"
"ec00901","Indole alkaloid biosynthesis","0.045549083784131","32"
"ec00051","Fructose and mannose metabolism","0.0467985905564644","79"
"ec00052","Galactose metabolism","0.0493751981155652","48"
"ec00562","Inositol phosphate metabolism","0.0493751981155652","48"
"ec00071","Fatty acid degradation","0.0500998550977135","31"
"ec00590","Arachidonic acid metabolism","0.0500998550977135","31"
"ec00770","Pantothenate and CoA biosynthesis","0.052165897026387","34"
"ec00680","Methane metabolism","0.0527294205362538","91"
"ec00740","Riboflavin metabolism","0.0551098406074849","30"
"ec00100","Steroid biosynthesis","0.0606258392124197","29"
"ec00960","Tropane, piperidine and pyridine alkaloid biosynthesis","0.0606258392124197","29"
"ec00623","Toluene degradation","0.0606258392124197","29"
"ec00130","Ubiquinone and other terpenoid-quinone biosynthesis","0.0613852249233117","45"
"ec00785","Lipoic acid metabolism","0.0643841164142934","5"
"ec00906","Carotenoid biosynthesis","0.0659531141773635","44"
"ec00941","Flavonoid biosynthesis","0.0666994660916238","28"
"ec00524","Neomycin, kanamycin and gentamicin biosynthesis","0.0666994660916238","28"
"ec00670","One carbon pool by folate","0.0687866714010696","28"
"ec01057","Biosynthesis of type II polyketide products","0.0733876532111121","27"
"ec00230","Purine metabolism","0.0760523004707808","109"
"ec00940","Phenylpropanoid biosynthesis","0.0807532023472639","26"
"ec00361","Chlorocyclohexane and chlorobenzene degradation","0.0807532023472639","26"
"ec00513","Various types of N-glycan biosynthesis","0.0978006736866573","24"
"ec00470","D-Amino acid metabolism","0.100579866128617","51"
"ec00300","Lysine biosynthesis","0.102929013628535","33"
"ec00660","C5-Branched dibasic acid metabolism","0.107643376436458","23"
"ec00565","Ether lipid metabolism","0.107643376436458","23"
"ec00943","Isoflavonoid biosynthesis","0.118486573696541","22"
"ec00622","Xylene degradation","0.118486573696541","22"
"ec00930","Caprolactam degradation","0.118486573696541","22"
"ec00983","Drug metabolism - other enzymes","0.127671561431985","26"
"ec00624","Polycyclic aromatic hydrocarbon degradation","0.130432974344221","21"
"ec00220","Arginine biosynthesis","0.140240181625441","33"
"ec00552","Teichoic acid biosynthesis","0.143595935057858","20"
"ec00907","Pinene, camphor and geraniol degradation","0.143595935057858","20"
"ec00240","Pyrimidine metabolism","0.154157092450908","63"
"ec00260","Glycine, serine and threonine metabolism","0.155606728445622","72"
"ec00522","Biosynthesis of 12-, 14- and 16-membered macrolides","0.158100574962693","19"
"ec00643","Styrene degradation","0.158100574962693","19"
"ec00440","Phosphonate and phosphinate metabolism","0.159393177668807","31"
"ec00900","Terpenoid backbone biosynthesis","0.165573082599011","51"
"ec00760","Nicotinate and nicotinamide metabolism","0.166875932786172","60"
"ec00010","Glycolysis / Gluconeogenesis","0.171179670208214","50"
"ec00120","Primary bile acid biosynthesis","0.174085008093112","18"
"ec00340","Histidine metabolism","0.18122143546994","39"
"ec00400","Phenylalanine, tyrosine and tryptophan biosynthesis","0.18122143546994","39"
"ec00121","Secondary bile acid biosynthesis","0.191701706244209","17"
"ec00450","Selenocompound metabolism","0.191701706244209","17"
"ec00404","Staurosporine biosynthesis","0.191701706244209","17"
"ec00625","Chloroalkane and chloroalkene degradation","0.191701706244209","17"
"ec00730","Thiamine metabolism","0.19171668523344","28"
"ec00250","Alanine, aspartate and glutamate metabolism","0.201044771697948","50"
"ec00523","Polyketide sugar unit biosynthesis","0.203424097516008","27"
"ec00942","Anthocyanin biosynthesis","0.211119006140031","16"
"ec00401","Novobiocin biosynthesis","0.211119006140031","16"
"ec00020","Citrate cycle (TCA cycle)","0.215568306280282","26"
"ec00410","beta-Alanine metabolism","0.231793754924057","37"
"ec00531","Glycosaminoglycan degradation","0.232522776347776","15"
"ec00601","Glycosphingolipid biosynthesis - lacto and neolacto series","0.232522776347776","15"
"ec00966","Glucosinolate biosynthesis","0.232522776347776","15"
"ec00540","Lipopolysaccharide biosynthesis","0.236024134545662","30"
"ec00290","Valine, leucine and isoleucine biosynthesis","0.244176017415913","14"
"ec01040","Biosynthesis of unsaturated fatty acids","0.256118261032514","14"
"ec00903","Limonene degradation","0.256118261032514","14"
"ec00311","Penicillin and cephalosporin biosynthesis","0.256118261032514","14"
"ec00525","Acarbose and validamycin biosynthesis","0.256118261032514","14"
"ec00364","Fluorobenzoate degradation","0.256118261032514","14"
"ec00460","Cyanoamino acid metabolism","0.257222598481707","29"
"ec00750","Vitamin B6 metabolism","0.257222598481707","29"
"ec00710","Carbon fixation in photosynthetic organisms","0.27878451929849","25"
"ec00061","Fatty acid biosynthesis","0.278855266537426","18"
"ec00430","Taurine and hypotaurine metabolism","0.281345725176975","21"
"ec00780","Biotin metabolism","0.281345725176975","21"
"ec00062","Fatty acid elongation","0.282132119493803","13"
"ec00591","Linoleic acid metabolism","0.282132119493803","13"
"ec00592","alpha-Linolenic acid metabolism","0.282132119493803","13"
"ec00830","Retinol metabolism","0.282132119493803","13"
"ec00232","Caffeine metabolism","0.282132119493803","13"
"ec00405","Phenazine biosynthesis","0.282132119493803","13"
"ec00254","Aflatoxin biosynthesis","0.282132119493803","13"
"ec00621","Dioxin degradation","0.282132119493803","13"
"ec00984","Steroid degradation","0.282132119493803","13"
"ec00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","0.310814682473764","12"
"ec01053","Biosynthesis of siderophore group nonribosomal peptides","0.310814682473764","12"
"ec00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis","0.310814682473764","12"
"ec00332","Carbapenem biosynthesis","0.315560411808605","5"
"ec00521","Streptomycin biosynthesis","0.321941796745999","18"
"ec00190","Oxidative phosphorylation","0.342442448497922","11"
"ec00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","0.342442448497922","11"
"ec00603","Glycosphingolipid biosynthesis - globo and isoglobo series","0.342442448497922","11"
"ec00791","Atrazine degradation","0.342442448497922","11"
"ec01055","Biosynthesis of vancomycin group antibiotics","0.377320846030118","10"
"ec00980","Metabolism of xenobiotics by cytochrome P450","0.377320846030118","10"
"ec00908","Zeatin biosynthesis","0.387927072960301","10"
"ec00261","Monobactam biosynthesis","0.387927072960301","10"
"ec00073","Cutin, suberine and wax biosynthesis","0.415787290018359","9"
"ec00515","Mannose type O-glycan biosynthesis","0.415787290018359","9"
"ec00981","Insect hormone biosynthesis","0.415787290018359","9"
"ec01059","Biosynthesis of enediyne antibiotics","0.415787290018359","9"
"ec00253","Tetracycline biosynthesis","0.415787290018359","9"
"ec00996","Biosynthesis of various alkaloids","0.415787290018359","9"
"ec00626","Naphthalene degradation","0.415787290018359","9"
"ec00512","Mucin type O-glycan biosynthesis","0.458214564510029","8"
"ec00604","Glycosphingolipid biosynthesis - ganglio series","0.458214564510029","8"
"ec00402","Benzoxazinoid biosynthesis","0.458214564510029","8"
"ec00982","Drug metabolism - cytochrome P450","0.458214564510029","8"
"ec00572","Arabinogalactan biosynthesis - Mycobacterium","0.505014566456272","7"
"ec00633","Nitrotoluene degradation","0.505014566456272","7"
"ec00905","Brassinosteroid biosynthesis","0.55664244964418","6"
"ec00642","Ethylbenzene degradation","0.55664244964418","6"
"ec01051","Biosynthesis of ansamycins","0.613601211933352","5"
"ec00571","Lipoarabinomannan (LAM) biosynthesis","0.676446773676991","4"
"ec00331","Clavulanic acid biosynthesis","0.676446773676991","4"
"ec00195","Photosynthesis","0.745793600428594","3"
"ec00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","0.745793600428594","3"
"ec00946","Degradation of flavonoids","0.745793600428594","3"
"ec00333","Prodigiosin biosynthesis","0.745793600428594","3"
"ec00363","Bisphenol degradation","0.745793600428594","3"
"ec00365","Furfural degradation","0.745793600428594","3"
"ec01056","Biosynthesis of type II polyketide backbone","0.822320928830781","2"
"ec00965","Betalain biosynthesis","0.822320928830781","2"
